timeStamp,x,y,z,gx,gy,gz
1420650776920,0.08797408806178718,0.10832124024285003,-0.3972004884922877,9.324966590029932,0.010773907470703125,2.8950386834075674,lying
1420650776970,0.19858753089504316,0.10073953467588871,-0.28168234074898063,9.460687586112785,0.02289455337524414,2.9397802903991193,lying
1420650777020,0.2130171843943186,0.07524836610329802,-0.05209759577754885,9.482235547184665,0.010773907470703125,3.1491233345916494,lying
1420650777070,0.2130171843943186,0.07524836610329802,-0.05209759577754885,9.482235547184665,0.010773907470703125,3.1491233345916494,lying
1420650777120,0.12407105469629168,0.1024008920168504,-0.11258827743702568,9.400982310076802,0.04324527205314953,3.0663737671119624,lying
1420650777170,0.21380135704195125,0.0724508352061035,-0.2043491631616838,9.49420688427901,0.009277531433105468,2.9643209122146477,lying
1420650777221,0.08057135579092428,0.04885395138093736,-0.19772983635347335,9.353098696998785,-0.026785131072998045,2.9936497912200166,lying
1420650777270,0.06758311043872964,0.043749449582467785,-0.2763310428488999,9.31239709981277,-0.05147533112678211,2.9939491029601544,lying
1420650777320,0.264416276513692,0.00926252851432946,-0.040187126591545524,9.472509431733842,-0.08499415608143608,3.332130082890647,lying
1420650777370,0.2574071284039877,0.014477897104772272,-0.11691008615889587,9.420585037098732,-0.07721300125675043,3.3756748402138705,lying
1420650777420,0.27385500812418756,0.0017124577686532575,-0.00994927837345167,9.393351011480762,-0.08843582339390486,3.5951929366430324,lying
1420650777470,0.22084015137124804,0.0134696390859026,0.14453786033480429,9.307459136520512,-0.07631517905912479,3.8317700372779275,lying
1420650777520,0.12616080265031196,-0.013087401727598626,0.08165852997312321,9.204059305727341,-0.10235212325496831,3.790320448435936,lying
1420650777570,0.18020119392555206,0.010476895002217497,0.12841292895865625,9.277381905099563,-0.0701800384466187,3.7897218523551244,lying
1420650777620,0.18020119392555206,0.010476895002217497,0.12841292895865625,9.277381905099563,-0.0701800384466187,3.7897218523551244,lying
1420650777670,0.2250668839544989,0.07944128318191505,0.06930065037976019,9.353248298069927,0.0073322471508057785,3.652803572779102,lying
1420650777720,0.20079083135928957,-0.026499886674119625,0.01390159962073667,9.353098386471531,-0.09816226578311761,3.535337941946543,lying
1420650777770,0.18901841437052935,-0.05238505724968854,0.15159905829215423,9.36536852384936,-0.11866261978149413,3.6100072820358906,lying
1420650777820,0.18718243111502378,-0.008386648720453376,0.16554651776505633,9.401730461562984,-0.06838438663067936,3.520972798200976,lying
