timeStamp,alpha,beta,gamma
1420650365092,344.97074938786017,83.44557548487589,-48.992321627106044,standing
1420650365142,345.4625641836674,83.82270391532784,-51.358405208347364,standing
1420650365192,343.48717991983546,83.9385216467101,-51.46318904825444,standing
1420650365242,340.85117873709817,83.93441217532111,-50.386821306398865,standing
1420650365292,340.99543159993397,84.10002548447316,-51.65471969673584,standing
1420650365341,340.5743365928182,84.06120963052756,-52.022988048683544,standing
1420650365393,339.307672655075,84.02919354270463,-51.628987268600575,standing
1420650365442,337.976129406476,83.93204524487581,-51.62534110659942,standing
1420650365492,336.200838389927,83.77824001311106,-51.28783356726313,standing
1420650365542,336.200838389927,83.77824001311106,-51.28783356726313,standing
1420650365590,334.3547189315151,83.41680816597813,-50.46051337538178,standing
1420650365642,330.90902033870145,83.15978759049453,-47.837253169723816,standing
1420650365692,327.2217533546921,82.69938636283578,-44.56528168911411,standing
1420650365743,322.3523498523964,82.20469561006637,-39.73800202819004,standing
1420650365793,317.3911672531709,82.11152231397064,-35.406735283577945,standing
1420650365844,315.2169568865551,81.27846999292606,-33.654630723373955,standing
1420650365893,312.8942724929956,80.57142470827024,-31.309821722663397,standing
1420650365944,310.3427856634089,79.92040808684932,-28.629557845631577,standing
1420650365993,307.7233683546142,79.05387171818431,-25.704684445224764,standing
1420650366042,307.7233683546142,79.05387171818431,-25.704684445224764,standing
1420650366092,300.7099481586771,78.3034715395371,-18.613235364647903,standing
1420650366142,300.7099481586771,78.3034715395371,-18.613235364647903,standing
1420650366192,299.58829108020063,78.22752311571371,-17.683457023385618,standing
1420650366242,295.8533225750294,78.56095589844699,-14.61763859062594,standing
1420650366292,294.5384034477445,78.83692213237515,-13.807190695380452,standing
1420650366342,299.8656137238561,79.11887736786106,-19.406787384418333,standing
1420650366392,304.0727899708664,79.75166359602389,-23.789968134470445,standing
1420650366442,303.985319000108,80.5524785572668,-24.381177268582142,standing
1420650366492,304.31138126148994,80.81374976387094,-25.266838381831374,standing
1420650366542,304.9460139011139,81.09407012436779,-26.30109970696027,standing
1420650366591,304.8427759221052,81.3776797080455,-26.312363185934686,standing
1420650366642,304.8427759221052,81.3776797080455,-26.312363185934686,standing
1420650366692,305.5192227083929,81.72751162278048,-26.983217565700485,standing
1420650366742,305.9632476058989,82.05754456304687,-27.33096376934432,standing
1420650366792,306.13528711429433,82.25334030621855,-27.48565922956621,standing
1420650366842,306.163927522828,82.40491817108317,-27.36927316368781,standing
1420650366894,305.84997439666216,82.60842582866289,-26.92961700171914,standing
1420650366943,306.37264084734215,82.72419910792418,-27.3606937717837,standing
1420650366993,306.53580752046634,82.84599654337916,-27.46653131162985,standing
1420650367044,306.8648845565743,82.88985613639187,-27.742039769653033,standing
1420650367092,307.4475926597125,82.91578250428685,-28.286126212128142,standing
1420650367142,308.43074109216104,82.88667021346862,-29.215315648453718,standing
1420650367192,308.43074109216104,82.88667021346862,-29.215315648453718,standing
1420650367239,309.491957296522,82.82803112900716,-30.188024577960746,standing
1420650367292,310.4014370077153,82.78732871142772,-31.046462854356438,standing
1420650367342,311.0193400024951,82.74828176775067,-31.65541247535562,standing
1420650367393,311.7100186112869,82.72333986143946,-32.346396182638095,standing
1420650367442,312.44273622249136,82.72116521767904,-33.1311634749165,standing
1420650367492,312.6038766738428,82.74490031109937,-33.299867534555425,standing
1420650367542,312.55245245593375,82.77757272719448,-33.31797338990323,standing
1420650367591,312.7792961220387,82.78957745509827,-33.62232132356496,standing
1420650367643,313.2367425161935,82.79362850123574,-34.08900238991712,standing
1420650367692,313.9309277595121,82.83920246278616,-34.784784157121074,standing
1420650367740,313.9309277595121,82.83920246278616,-34.784784157121074,standing
1420650367792,314.80963400249044,82.85639916177375,-35.569910226856564,standing
1420650367842,315.2888668839001,82.9024245382965,-35.973100986471344,standing
1420650367892,315.72212238691253,82.96220895617846,-36.33485430207001,standing
1420650367943,316.3648023785884,83.01219553385393,-36.900045289151684,standing
1420650367993,317.13738708236605,83.04519331400074,-37.60104443411996,standing
1420650368042,317.432455470202,83.0716650149908,-37.864174982052894,standing
1420650368093,317.45829204872365,83.12052054829704,-37.9327478749979,standing
1420650368142,317.96948553882515,83.15559738795552,-38.49537691480794,standing
1420650368192,318.94598098294534,83.17413922220787,-39.48701967549127,standing
1420650368241,319.6499579733777,83.18566834694089,-40.1335264677998,standing
1420650368292,319.6499579733777,83.18566834694089,-40.1335264677998,standing
